landing_page_url_id,referrer_url,advertiser_id,campaign_id,timestamp
63,http://horseandbuggymonthly.net,1,2,1/1/2018 0:00:15
71,http://fearlesspinkbunnies.us,3,1,1/1/2018 0:00:30
88,http://guppyfishing.org,4,1,1/1/2018 0:00:51
64,http://fearlesspinkbunnies.us,1,2,1/1/2018 0:01:05
41,http://horseandbuggymonthly.net,4,1,1/1/2018 0:01:11
8,http://example.net,4,2,1/1/2018 0:01:31
46,http://horseandbuggymonthly.net,5,1,1/1/2018 0:01:58
3,http://fearlesspinkbunnies.us,1,2,1/1/2018 0:02:20
57,http://guppyfishing.org,2,2,1/1/2018 0:02:26
55,http://fashionabledogs.com,4,2,1/1/2018 0:02:52
54,http://horseandbuggymonthly.net,1,1,1/1/2018 0:02:57
67,http://fearlesspinkbunnies.us,4,1,1/1/2018 0:03:23
62,http://example.net,5,1,1/1/2018 0:03:41
45,http://fashionabledogs.com,2,2,1/1/2018 0:03:48
18,http://example.net,2,1,1/1/2018 0:04:08
6,http://example.net,1,1,1/1/2018 0:04:27
15,http://fashionabledogs.com,3,2,1/1/2018 0:04:42
26,http://guppyfishing.org,5,1,1/1/2018 0:05:03
65,http://horseandbuggymonthly.net,1,2,1/1/2018 0:05:10
37,http://example.net,4,2,1/1/2018 0:05:38
45,http://horseandbuggymonthly.net,5,2,1/1/2018 0:05:47
16,http://horseandbuggymonthly.net,1,2,1/1/2018 0:06:06
13,http://horseandbuggymonthly.net,1,1,1/1/2018 0:06:07
61,http://fashionabledogs.com,4,2,1/1/2018 0:06:29
23,http://fashionabledogs.com,1,1,1/1/2018 0:06:59
70,http://horseandbuggymonthly.net,1,2,1/1/2018 0:07:17
64,http://horseandbuggymonthly.net,3,2,1/1/2018 0:07:35
16,http://horseandbuggymonthly.net,3,1,1/1/2018 0:07:38
17,http://horseandbuggymonthly.net,5,2,1/1/2018 0:08:00
90,http://fashionabledogs.com,5,2,1/1/2018 0:08:11
36,http://fearlesspinkbunnies.us,3,1,1/1/2018 0:08:18
5,http://fearlesspinkbunnies.us,5,2,1/1/2018 0:08:32
59,http://guppyfishing.org,2,1,1/1/2018 0:08:36
92,http://guppyfishing.org,4,1,1/1/2018 0:08:40
75,http://fearlesspinkbunnies.us,4,1,1/1/2018 0:08:59
19,http://example.net,4,2,1/1/2018 0:09:02
75,http://fearlesspinkbunnies.us,2,1,1/1/2018 0:09:24
39,http://fearlesspinkbunnies.us,1,2,1/1/2018 0:09:49
